DateTime,Entry,Emotion,SuggestedTask,StressPercentage
2025-04-11 23:17:20,my name is navi,Neutral,Take a mindful break.,60
2025-04-11 23:19:56,anjum is idiot,Sad,Go for a short walk.,100
2025-04-11 23:20:21,anjum is idiot,Sad,Go for a short walk.,100
2025-04-11 23:20:37,i am super happy... this code is running idk howw,Happy,Celebrate your happiness!,31
2025-04-12 04:05:32,today is very fine day,Happy,Celebrate your happiness!,32
2025-04-12 04:09:19,today is a good day,Happy,Celebrate your happiness!,25
2025-04-12 04:10:56,today is a good day,Happy,Celebrate your happiness!,25
2025-04-12 04:14:20,today is a good day,Happy,Celebrate your happiness!,25
2025-04-12 04:51:38,i am feeling extremely happy,Happy,Celebrate your happiness!,19
2025-04-12 04:59:40,i am happy,Happy,Celebrate your happiness!,19
2025-04-12 06:36:51,feeling sad,Sad,Go for a short walk.,85
2025-04-12 06:42:50,today is very fine day,Happy,Celebrate your happiness!,32
2025-04-12 06:43:19,today is fine day,Happy,Celebrate your happiness!,39
